match_id,blue_team_win,queue_id,player_rank_tier,player_rank_division,blue_gold_15,red_gold_15,blue_kills_15,red_kills_15,blue_cs_15,red_cs_15,blue_towers_15,red_towers_15,blue_dragons_15,red_dragons_15,blue_grubs_15,red_grubs_15,blue_experience_15,red_experience_15,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_class_1,blue_class_2,blue_class_3,blue_class_4,blue_class_5,red_class_1,red_class_2,red_class_3,red_class_4,red_class_5,blue_role_1,blue_role_2,blue_role_3,blue_role_4,blue_role_5,red_role_1,red_role_2,red_role_3,red_role_4,red_role_5
EUN1_3846785907,1,440,EMERALD,4,27719,26745,14,17,384,379,1,0,0,2,2,1,30047,29696,54,200,234,119,147,887,11,360,51,98,Tank,Fighter,Fighter,Marksman,Enchanter,Fighter,Fighter,Marksman,Marksman,Tank,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3848375139,0,420,EMERALD,4,26583,26437,11,9,413,432,0,1,1,1,0,3,32047,30421,75,203,45,22,235,10,56,59,18,99,Fighter,Marksman,Mage,Marksman,Marksman,Mage,Fighter,Fighter,Marksman,Mage,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3864061839,0,440,EMERALD,4,23840,25174,9,11,369,404,0,1,1,1,3,0,28039,29424,150,48,777,800,25,157,33,10,21,497,Fighter,Fighter,Fighter,Mage,Mage,Fighter,Tank,Mage,Marksman,Enchanter,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3864994739,1,420,EMERALD,4,27066,27421,16,15,384,376,0,1,1,1,2,1,28731,28220,92,876,99,360,111,54,141,800,22,40,Fighter,Fighter,Mage,Marksman,Tank,Tank,Fighter,Mage,Marksman,Enchanter,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3844816043,0,420,EMERALD,4,26943,25421,14,11,389,379,0,0,0,1,2,1,30450,30368,79,233,90,81,59,799,82,517,901,16,Fighter,Fighter,Mage,Marksman,Fighter,Fighter,Fighter,Mage,Marksman,Enchanter,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3867742869,0,440,EMERALD,4,27325,26677,16,12,354,417,1,0,0,1,1,2,30490,29683,67,427,131,15,16,75,31,90,498,497,Marksman,Enchanter,Fighter,Marksman,Enchanter,Fighter,Tank,Mage,Marksman,Enchanter,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3867673136,1,440,EMERALD,4,27081,27556,18,18,358,380,0,0,0,1,3,0,30619,32355,85,20,157,147,518,904,141,61,145,89,Mage,Tank,Fighter,Enchanter,Mage,Fighter,Fighter,Mage,Marksman,Tank,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3865017001,1,420,EMERALD,4,26434,28236,12,14,425,435,0,0,0,2,2,1,30662,30495,516,32,161,202,147,2,876,950,145,63,Tank,Tank,Mage,Marksman,Enchanter,Fighter,Fighter,Assassin,Marksman,Mage,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3864034244,0,440,EMERALD,4,22103,25545,7,11,342,381,0,1,0,1,0,3,27629,30293,904,126,517,21,99,54,19,101,142,800,Fighter,Fighter,Mage,Marksman,Mage,Tank,Fighter,Mage,Mage,Mage,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
EUN1_3844800091,1,420,EMERALD,4,26253,26696,11,10,437,451,0,0,1,1,0,3,31206,30974,36,106,901,18,267,39,48,99,29,800,Tank,Fighter,Marksman,Marksman,Enchanter,Fighter,Fighter,Mage,Marksman,Mage,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY
